,learner_id,grades,nationality,writing_id,levels,unit,topic_id,topic_text,passage,query_sentence
0,42578,88.0,il,293893,4,2,26,Describing routines,"
      Hi! We're going to travel and here're all chores and routine for Sean, Granny and you: Sean - plays basketball in the afternoon and plays computer games at 6p.m. every day. He watches movies on Saturdays. Granny She does laundry on Tuesday afternoon. Does gardening in the morning. Sets the table at 6pm. You Have to feed the dog every day at 8am and 5pm. Walk the dog in the afternoon. All the best!
    ",Does gardening in the morning .
1,42578,88.0,il,293893,4,2,26,Describing routines,"
      Hi! We're going to travel and here're all chores and routine for Sean, Granny and you: Sean - plays basketball in the afternoon and plays computer games at 6p.m. every day. He watches movies on Saturdays. Granny She does laundry on Tuesday afternoon. Does gardening in the morning. Sets the table at 6pm. You Have to feed the dog every day at 8am and 5pm. Walk the dog in the afternoon. All the best!
    ",Sets the table at 6pm .
